year,month,n,win_rate,pnl_yen,pf
2023,8,185,10.8,-59470.0,0.403
2023,9,165,32.7,12270.0,1.186
2023,10,179,22.9,-33438.0,0.61
2023,11,258,61.6,254124.0,5.181
2023,12,126,26.2,-20672.0,0.615
2024,1,189,45.0,81392.0,2.308
2024,2,211,27.5,16458.0,1.181
2024,4,196,18.9,-16812.0,0.83
2024,5,228,36.4,61284.0,1.683
2024,6,197,22.3,-17834.0,0.813
2024,8,163,8.6,-60186.0,0.351
2024,9,225,32.0,21250.0,1.225
2024,10,265,35.5,108620.0,2.021
2024,11,145,37.9,72460.0,2.294
2024,12,224,42.4,78422.0,1.994
2025,1,209,65.1,217102.0,5.781
2025,2,183,16.9,-44326.0,0.489
2025,4,205,28.8,41240.0,1.456
2025,5,210,21.9,-21120.0,0.792
2025,6,202,38.1,58956.0,1.778
2025,8,186,34.4,39358.0,1.53
2025,9,219,29.2,29882.0,1.312
2025,10,247,27.5,34666.0,1.312
2025,11,256,28.1,45118.0,1.394
2025,12,155,15.5,-46360.0,0.407
2026,1,141,58.9,150098.0,5.161
2026,2,207,19.8,-5754.0,0.944
2026,4,114,26.3,15142.0,1.29
